Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP106749.1	SAMN28858607	Neisseria gonorrhoeae strain 10723 chromosome, complete genome.	2192371	Neisseria gonorrhoeae strain 10723 chromosome, complete genome.
CP106765.1	SAMN22599447	Neisseria gonorrhoeae strain 10500 chromosome, complete genome.	2214782	Neisseria gonorrhoeae strain 10500 chromosome, complete genome.
CP106767.1	SAMN22599455	Neisseria gonorrhoeae strain 10610 chromosome, complete genome.	2221786	Neisseria gonorrhoeae strain 10610 chromosome, complete genome.
CP106769.1	SAMN22599711	Neisseria gonorrhoeae strain 10524 chromosome, complete genome.	2207788	Neisseria gonorrhoeae strain 10524 chromosome, complete genome.
CP106771.1	SAMN22599488	Neisseria gonorrhoeae strain 10531 chromosome, complete genome.	2214953	Neisseria gonorrhoeae strain 10531 chromosome, complete genome.
CP106773.1	SAMN22600865	Neisseria gonorrhoeae strain 10562 chromosome, complete genome.	2201001	Neisseria gonorrhoeae strain 10562 chromosome, complete genome.
CP106775.1	SAMN22600584	Neisseria gonorrhoeae strain 10702 chromosome, complete genome.	2212515	Neisseria gonorrhoeae strain 10702 chromosome, complete genome.
CP106777.1	SAMN22600590	Neisseria gonorrhoeae strain 10727 chromosome, complete genome.	2191505	Neisseria gonorrhoeae strain 10727 chromosome, complete genome.
CP106780.1	SAMN22600605	Neisseria gonorrhoeae strain 10794 chromosome, complete genome.	2212713	Neisseria gonorrhoeae strain 10794 chromosome, complete genome.
CP106782.1	SAMN22600608	Neisseria gonorrhoeae strain 10795 chromosome, complete genome.	2213168	Neisseria gonorrhoeae strain 10795 chromosome, complete genome.
CP106789.1	SAMN22600315	Neisseria gonorrhoeae strain 10638 chromosome, complete genome.	2204219	Neisseria gonorrhoeae strain 10638 chromosome, complete genome.
CP106801.1	SAMN31014135	Neisseria gonorrhoeae strain 10744 chromosome, complete genome.	2228933	Neisseria gonorrhoeae strain 10744 chromosome, complete genome.
CP106803.1	SAMN31014148	Neisseria gonorrhoeae strain 10819 chromosome, complete genome.	2229641	Neisseria gonorrhoeae strain 10819 chromosome, complete genome.
CP106805.1	SAMN31014963	Neisseria gonorrhoeae strain 10743 chromosome, complete genome.	2227249	Neisseria gonorrhoeae strain 10743 chromosome, complete genome.
CP106807.1	SAMN31014981	Neisseria gonorrhoeae strain 10736 chromosome, complete genome.	2227374	Neisseria gonorrhoeae strain 10736 chromosome, complete genome.
CP106809.1	SAMN31014987	Neisseria gonorrhoeae strain 10708 chromosome, complete genome.	2227633	Neisseria gonorrhoeae strain 10708 chromosome, complete genome.
CP106811.1	SAMN31014989	Neisseria gonorrhoeae strain 10531 chromosome, complete genome.	2214951	Neisseria gonorrhoeae strain 10531 chromosome, complete genome.
CP106813.1	SAMN31014998	Neisseria gonorrhoeae strain 9431 chromosome, complete genome.	2227248	Neisseria gonorrhoeae strain 9431 chromosome, complete genome.
CP106815.1	SAMN31015000	Neisseria gonorrhoeae strain 10562 chromosome, complete genome.	2223176	Neisseria gonorrhoeae strain 10562 chromosome, complete genome.
CP106817.1	SAMN22600672	Neisseria gonorrhoeae strain 10574 chromosome, complete genome.	2213959	Neisseria gonorrhoeae strain 10574 chromosome, complete genome.
CP106819.1	SAMN22600892	Neisseria gonorrhoeae strain 10791 chromosome, complete genome.	2212689	Neisseria gonorrhoeae strain 10791 chromosome, complete genome.
CP106821.1	SAMN28869590	Neisseria gonorrhoeae strain 10529 chromosome, complete genome.	2211604	Neisseria gonorrhoeae strain 10529 chromosome, complete genome.
CP106824.1	SAMN28859080	Neisseria gonorrhoeae strain 9399 chromosome, complete genome.	2219165	Neisseria gonorrhoeae strain 9399 chromosome, complete genome.
CP106826.1	SAMN28871631	Neisseria gonorrhoeae strain 9464 chromosome, complete genome.	2228428	Neisseria gonorrhoeae strain 9464 chromosome, complete genome.
CP106918.1	SAMN28871636	Neisseria gonorrhoeae strain 9071 chromosome, complete genome.	2263505	Neisseria gonorrhoeae strain 9071 chromosome, complete genome.
CP106921.1	SAMN28858852	Neisseria gonorrhoeae strain 10272 chromosome, complete genome.	2219268	Neisseria gonorrhoeae strain 10272 chromosome, complete genome.
CP107223.1	SAMN31203372	Neisseria gonorrhoeae strain H035 chromosome, complete genome.	2167942	Neisseria gonorrhoeae strain H035 chromosome, complete genome.
CP107264.1	SAMN28869504	Neisseria gonorrhoeae strain 10231 chromosome, complete genome.	2212810	Neisseria gonorrhoeae strain 10231 chromosome, complete genome.
CP107266.1	SAMN28869553	Neisseria gonorrhoeae strain 9112 chromosome, complete genome.	2230440	Neisseria gonorrhoeae strain 9112 chromosome, complete genome.
CP107270.1	SAMN31165854	Neisseria gonorrhoeae strain 1081168 chromosome, complete genome.	2230282	Neisseria gonorrhoeae strain 1081168 chromosome, complete genome.
CP107271.1	SAMN31165853	Neisseria gonorrhoeae strain 1123850 chromosome, complete genome.	2217711	Neisseria gonorrhoeae strain 1123850 chromosome, complete genome.
CP107272.1	SAMN31165852	Neisseria gonorrhoeae strain 1130991 chromosome, complete genome.	2230471	Neisseria gonorrhoeae strain 1130991 chromosome, complete genome.
CP107274.1	SAMN31165850	Neisseria gonorrhoeae strain 1145734 chromosome, complete genome.	2163610	Neisseria gonorrhoeae strain 1145734 chromosome, complete genome.
CP115654.1	SAMN31428011	Neisseria gonorrhoeae strain FA1090 N-1-60 chromosome, complete genome.	2155007	Neisseria gonorrhoeae strain FA1090 N-1-60 chromosome, complete genome.
CP115904.1	SAMN31428012	Neisseria gonorrhoeae strain MS11 HL-1-22 chromosome, complete genome.	2259189	Neisseria gonorrhoeae strain MS11 HL-1-22 chromosome, complete genome.
CP119140.1	SAMN33482240	Neisseria gonorrhoeae strain 2022NG-0076 plasmid p2022NG-0076_1, complete sequence.	2168363	Neisseria gonorrhoeae strain 2022NG-0076 plasmid p2022NG-0076_1, complete sequence.
CP119142.1	SAMN33482239	Neisseria gonorrhoeae strain 2022NG-0032 plasmid p2022NG-0032_1, complete sequence.	2167441	Neisseria gonorrhoeae strain 2022NG-0032 plasmid p2022NG-0032_1, complete sequence.
CP130889.1	SAMN32487327	Neisseria gonorrhoeae strain NJ209649 chromosome, complete genome.	2216289	Neisseria gonorrhoeae strain NJ209649 chromosome, complete genome.
CP130890.1	SAMN32487326	Neisseria gonorrhoeae strain NJ208756 chromosome, complete genome.	2214541	Neisseria gonorrhoeae strain NJ208756 chromosome, complete genome.
CP130891.1	SAMN32487325	Neisseria gonorrhoeae strain NJ208430 chromosome, complete genome.	2212965	Neisseria gonorrhoeae strain NJ208430 chromosome, complete genome.
CP130892.1	SAMN32487324	Neisseria gonorrhoeae strain NJ204705 chromosome, complete genome.	2239705	Neisseria gonorrhoeae strain NJ204705 chromosome, complete genome.
CP130893.1	SAMN32487323	Neisseria gonorrhoeae strain NJ1914646 chromosome, complete genome.	2215504	Neisseria gonorrhoeae strain NJ1914646 chromosome, complete genome.
CP130894.1	SAMN32487322	Neisseria gonorrhoeae strain NJ1914215 chromosome, complete genome.	2216433	Neisseria gonorrhoeae strain NJ1914215 chromosome, complete genome.
CP130895.1	SAMN32487321	Neisseria gonorrhoeae strain NJ1913940 chromosome, complete genome.	2213791	Neisseria gonorrhoeae strain NJ1913940 chromosome, complete genome.
CP130896.1	SAMN32487320	Neisseria gonorrhoeae strain NJ1911400 chromosome, complete genome.	2216166	Neisseria gonorrhoeae strain NJ1911400 chromosome, complete genome.
CP130897.1	SAMN32487319	Neisseria gonorrhoeae strain NJ197542 chromosome, complete genome.	2216731	Neisseria gonorrhoeae strain NJ197542 chromosome, complete genome.
CP130898.1	SAMN32487318	Neisseria gonorrhoeae strain NJ196610 chromosome, complete genome.	2216684	Neisseria gonorrhoeae strain NJ196610 chromosome, complete genome.
CP130899.1	SAMN32487317	Neisseria gonorrhoeae strain NJ195417 chromosome, complete genome.	2214712	Neisseria gonorrhoeae strain NJ195417 chromosome, complete genome.
LR134358.1	SAMEA4364223	Neisseria gonorrhoeae strain NCTC13484 genome assembly, chromosome: 1.	2190946	Neisseria gonorrhoeae strain NCTC13484 genome assembly, chromosome: 1.
LT591897.1	SAMEA2448460	Neisseria gonorrhoeae strain WHO F genome assembly, chromosome: 1.	2292467	Neisseria gonorrhoeae strain WHO F genome assembly, chromosome: 1.
LT591898.1	SAMEA2448461	Neisseria gonorrhoeae strain WHO G genome assembly, chromosome: 1.	2167361	Neisseria gonorrhoeae strain WHO G genome assembly, chromosome: 1.
LT591901.1	SAMEA2448463	Neisseria gonorrhoeae strain WHO L genome assembly, chromosome: 1.	2168633	Neisseria gonorrhoeae strain WHO L genome assembly, chromosome: 1.
LT591904.1	SAMEA2448464	Neisseria gonorrhoeae strain WHO M genome assembly, chromosome: 1.	2178344	Neisseria gonorrhoeae strain WHO M genome assembly, chromosome: 1.
LT591908.1	SAMEA2448462	Neisseria gonorrhoeae strain WHO K genome assembly, chromosome: 1.	2169846	Neisseria gonorrhoeae strain WHO K genome assembly, chromosome: 1.
LT591910.1	SAMEA2448465	Neisseria gonorrhoeae strain WHO N genome assembly, chromosome: 1.	2172826	Neisseria gonorrhoeae strain WHO N genome assembly, chromosome: 1.
LT592146.1	SAMEA2448466	Neisseria gonorrhoeae strain WHO O genome assembly, chromosome: 1.	2169062	Neisseria gonorrhoeae strain WHO O genome assembly, chromosome: 1.
LT592150.1	SAMEA2796328	Neisseria gonorrhoeae strain WHO_V genome assembly, chromosome: 1.	2221284	Neisseria gonorrhoeae strain WHO_V genome assembly, chromosome: 1.
LT592153.1	SAMEA2796326	Neisseria gonorrhoeae strain WHO_Z genome assembly, chromosome: 1.	2229351	Neisseria gonorrhoeae strain WHO_Z genome assembly, chromosome: 1.
LT592155.1	SAMEA2448468	Neisseria gonorrhoeae strain WHO_X genome assembly, chromosome: 1.	2171112	Neisseria gonorrhoeae strain WHO_X genome assembly, chromosome: 1.
LT592157.1	SAMEA2448467	Neisseria gonorrhoeae strain WHO P genome assembly, chromosome: 1.	2173861	Neisseria gonorrhoeae strain WHO P genome assembly, chromosome: 1.
LT592159.1	SAMEA2796327	Neisseria gonorrhoeae strain WHO_U genome assembly, chromosome: 1.	2234269	Neisseria gonorrhoeae strain WHO_U genome assembly, chromosome: 1.
LT592161.1	SAMEA2448469	Neisseria gonorrhoeae strain WHO_Y genome assembly, chromosome: 1.	2228980	Neisseria gonorrhoeae strain WHO_Y genome assembly, chromosome: 1.
LT592163.1	SAMEA2448470	Neisseria gonorrhoeae strain WHO_W genome assembly, chromosome: 1.	2222386	Neisseria gonorrhoeae strain WHO_W genome assembly, chromosome: 1.
LT906437.1	SAMEA4076765	Neisseria gonorrhoeae strain NCTC13799 genome assembly, chromosome: 1.	2172222	Neisseria gonorrhoeae strain NCTC13799 genome assembly, chromosome: 1.
LT906440.1	SAMEA4076741	Neisseria gonorrhoeae strain NCTC13798 genome assembly, chromosome: 1.	2230241	Neisseria gonorrhoeae strain NCTC13798 genome assembly, chromosome: 1.
LT906472.1	SAMEA4076768	Neisseria gonorrhoeae strain NCTC13800 genome assembly, chromosome: 1.	2226638	Neisseria gonorrhoeae strain NCTC13800 genome assembly, chromosome: 1.
AP028338.1	SAMD00620671	Campylobacter coli BCH-10307 DNA, complete genome.	1799019	Campylobacter coli BCH-10307 DNA, complete genome.
AP028341.1	SAMD00620673	Campylobacter coli BCH-10328 DNA, complete genome.	1728279	Campylobacter coli BCH-10328 DNA, complete genome.
AP028350.1	SAMD00620679	Campylobacter coli BCH-10420 DNA, complete genome.	1674984	Campylobacter coli BCH-10420 DNA, complete genome.
AP028351.1	SAMD00620683	Campylobacter coli BCH-10460 DNA, complete genome.	1725299	Campylobacter coli BCH-10460 DNA, complete genome.
AP028371.1	SAMD00620707	Campylobacter coli BCH-10879 DNA, complete genome.	1666919	Campylobacter coli BCH-10879 DNA, complete genome.
AP028382.1	SAMD00620719	Campylobacter coli BCH-11051 DNA, complete genome.	1690596	Campylobacter coli BCH-11051 DNA, complete genome.
AP028404.1	SAMD00620744	Campylobacter coli BCH-11568 DNA, complete genome.	1674309	Campylobacter coli BCH-11568 DNA, complete genome.
AP028407.1	SAMD00620754	Campylobacter coli IDH-11847 DNA, complete genome.	1670990	Campylobacter coli IDH-11847 DNA, complete genome.
AP028409.1	SAMD00620759	Campylobacter coli IDH-11999 DNA, complete genome.	1814413	Campylobacter coli IDH-11999 DNA, complete genome.
CP004066.1	SAMN02603234	Campylobacter coli CVM N29710, complete genome.	1673221	Campylobacter coli CVM N29710, complete genome.
CP004067.1	SAMN02603234	Campylobacter coli CVM N29710 plasmid pN29710-1, complete sequence.	55127	Campylobacter coli CVM N29710 plasmid pN29710-1, complete sequence.
CP004068.1	SAMN02603234	Campylobacter coli CVM N29710 plasmid pN29710-2, complete sequence.	3707	Campylobacter coli CVM N29710 plasmid pN29710-2, complete sequence.
CP006702.2	SAMN02603390	Campylobacter coli 15-537360, complete genome.	1658752	Campylobacter coli 15-537360, complete genome.
CP006703.1	SAMN02603390	Campylobacter coli 15-537360 plasmid pCC42yr, complete sequence.	26269	Campylobacter coli 15-537360 plasmid pCC42yr, complete sequence.
CP007179.1	SAMN02743854	Campylobacter coli RM5611, complete genome.	1684743	Campylobacter coli RM5611, complete genome.
CP007180.1	NA	Campylobacter coli RM5611 plasmid pRM5611_48kb, complete sequence.	48422	Campylobacter coli RM5611 plasmid pRM5611_48kb, complete sequence.
CP007181.1	SAMN02743855	Campylobacter coli RM4661, complete genome.	1824273	Campylobacter coli RM4661, complete genome.
CP007182.1	NA	Campylobacter coli RM4661 plasmid pRM4661_48kbp, complete sequence.	47962	Campylobacter coli RM4661 plasmid pRM4661_48kbp, complete sequence.
CP007183.1	SAMN02743856	Campylobacter coli RM1875, complete genome.	1814252	Campylobacter coli RM1875, complete genome.
CP011015.1	SAMN03381357	Campylobacter coli strain FB1, complete genome.	1658607	Campylobacter coli strain FB1, complete genome.
CP011016.1	SAMN03381357	Campylobacter coli strain FB1 plasmid pCC42, complete sequence.	29115	Campylobacter coli strain FB1 plasmid pCC42, complete sequence.
CP011017.1	SAMN03381357	Campylobacter coli strain FB1 plasmid pFB1TET, complete sequence.	44826	Campylobacter coli strain FB1 plasmid pFB1TET, complete sequence.
CP013034.1	SAMN04202590	Campylobacter coli strain HC2-48, complete genome.	1663782	Campylobacter coli strain HC2-48, complete genome.
CP013035.1	SAMN04202590	Campylobacter coli strain HC2-48 plasmid pccdm1, complete sequence.	44064	Campylobacter coli strain HC2-48 plasmid pccdm1, complete sequence.
CP013733.1	SAMN04271271	Campylobacter coli strain OR12, complete genome.	2033903	Campylobacter coli strain OR12, complete genome.
CP015528.1	SAMN04883459	Campylobacter coli strain YH501, complete genome.	1668523	Campylobacter coli strain YH501, complete genome.
CP017025.1	SAMN05544801	Campylobacter coli strain 14983A, complete sequence.	1797243	Campylobacter coli strain 14983A, complete sequence.
CP017865.1	SAMN05942180	Campylobacter coli strain YF2105 chromosome, complete genome.	1687232	Campylobacter coli strain YF2105 chromosome, complete genome.
CP017866.1	SAMN05942180	Campylobacter coli strain YF2105 plasmid pCCDM105L, complete sequence.	46193	Campylobacter coli strain YF2105 plasmid pCCDM105L, complete sequence.
CP017867.1	SAMN05942180	Campylobacter coli strain YF2105 plasmid pCCDM105S, complete sequence.	25284	Campylobacter coli strain YF2105 plasmid pCCDM105S, complete sequence.
CP017868.1	SAMN05942182	Campylobacter coli strain MG1116, complete genome.	1665146	Campylobacter coli strain MG1116, complete genome.
CP017869.1	SAMN05942182	Campylobacter coli strain MG1116 plasmid pCCDM116L, complete sequence.	45633	Campylobacter coli strain MG1116 plasmid pCCDM116L, complete sequence.
CP017870.1	SAMN05942182	Campylobacter coli strain MG1116 plasmid pCCDM116S, complete sequence.	24874	Campylobacter coli strain MG1116 plasmid pCCDM116S, complete sequence.
CP017871.1	SAMN05942184	Campylobacter coli strain BP3183 chromosome, complete genome.	1695360	Campylobacter coli strain BP3183 chromosome, complete genome.
CP017872.1	SAMN05942184	Campylobacter coli strain BP3183 plasmid pCCDM183, complete sequence.	55122	Campylobacter coli strain BP3183 plasmid pCCDM183, complete sequence.
CP017873.1	SAMN05942178	Campylobacter coli strain WA333 chromosome, complete genome.	1841551	Campylobacter coli strain WA333 chromosome, complete genome.
CP017874.1	SAMN05942178	Campylobacter coli strain WA333 plasmid pCCDM33S, complete sequence.	25058	Campylobacter coli strain WA333 plasmid pCCDM33S, complete sequence.
CP017875.1	SAMN05942188	Campylobacter coli strain ZV1224 chromosome, complete genome.	1837306	Campylobacter coli strain ZV1224 chromosome, complete genome.
CP017876.1	SAMN05942188	Campylobacter coli strain ZV1224 plasmid pCCDM224S, complete sequence.	32270	Campylobacter coli strain ZV1224 plasmid pCCDM224S, complete sequence.
CP017877.1	SAMN05942188	Campylobacter coli strain ZV1224 plasmid pCCDM224L, complete sequence.	55234	Campylobacter coli strain ZV1224 plasmid pCCDM224L, complete sequence.
CP017878.1	SAMN05942181	Campylobacter coli strain BG2108 chromosome, complete genome.	1695638	Campylobacter coli strain BG2108 chromosome, complete genome.
CP017879.1	SAMN05942181	Campylobacter coli strain BG2108 plasmid pCCDM108L, complete sequence.	46186	Campylobacter coli strain BG2108 plasmid pCCDM108L, complete sequence.
CP017880.1	SAMN05942181	Campylobacter coli strain BG2108 plasmid pCCDM108S, complete sequence.	25286	Campylobacter coli strain BG2108 plasmid pCCDM108S, complete sequence.
CP019977.1	SAMN06456893	Campylobacter coli strain aerotolerant OR12, complete genome.	2033919	Campylobacter coli strain aerotolerant OR12, complete genome.
CP023545.1	SAMN03580886	Campylobacter coli strain CFSAN032805 chromosome, complete genome.	1670005	Campylobacter coli strain CFSAN032805 chromosome, complete genome.
CP025281.1	SAMN08160608	Campylobacter coli strain YH503 chromosome, complete genome.	1705805	Campylobacter coli strain YH503 chromosome, complete genome.
CP025282.1	SAMN08160608	Campylobacter coli strain YH503 plasmid pCOS503, complete sequence.	108453	Campylobacter coli strain YH503 plasmid pCOS503, complete sequence.
CP028187.1	SAMN08663432	Campylobacter coli strain CFSAN054106 chromosome, complete genome.	1894971	Campylobacter coli strain CFSAN054106 chromosome, complete genome.
CP028188.1	SAMN08663432	Campylobacter coli strain CFSAN054106 plasmid pGMI16-001, complete sequence.	30303	Campylobacter coli strain CFSAN054106 plasmid pGMI16-001, complete sequence.
CP035927.1	SAMN10913631	Campylobacter coli strain RM2228 chromosome, complete genome.	1684122	Campylobacter coli strain RM2228 chromosome, complete genome.
CP038868.1	SAMN11316573	Campylobacter coli strain 16SHKX65C chromosome, complete genome.	1728473	Campylobacter coli strain 16SHKX65C chromosome, complete genome.
CP044161.1	SAMN12648970	Campylobacter coli strain AR-0420 chromosome, complete genome.	1715182	Campylobacter coli strain AR-0420 chromosome, complete genome.
CP044175.1	SAMN12648961	Campylobacter coli strain AR-0411 chromosome, complete genome.	1754049	Campylobacter coli strain AR-0411 chromosome, complete genome.
CP045791.1	SAMN03580886	Campylobacter coli strain CFSAN032805 chromosome, complete genome.	1670008	Campylobacter coli strain CFSAN032805 chromosome, complete genome.
CP045792.1	SAMN03580886	Campylobacter coli strain CFSAN032805 plasmid p2CFSAN032805, complete sequence.	25046	Campylobacter coli strain CFSAN032805 plasmid p2CFSAN032805, complete sequence.
CP045793.1	SAMN03580886	Campylobacter coli strain CFSAN032805 plasmid p1CFSAN032805, complete sequence.	55123	Campylobacter coli strain CFSAN032805 plasmid p1CFSAN032805, complete sequence.
CP046317.1	SAMN11056450	Campylobacter coli strain FDAARGOS_735 chromosome, complete genome.	1678432	Campylobacter coli strain FDAARGOS_735 chromosome, complete genome.
CP047197.1	SAMN13684185	Campylobacter coli strain JZ_1_95 chromosome, complete genome.	1788429	Campylobacter coli strain JZ_1_95 chromosome, complete genome.
CP047212.1	SAMN13684156	Campylobacter coli strain JZ_1_79 chromosome, complete genome.	1698022	Campylobacter coli strain JZ_1_79 chromosome, complete genome.
CP047214.1	SAMN13684191	Campylobacter coli strain QL_1_15 chromosome, complete genome.	1745427	Campylobacter coli strain QL_1_15 chromosome, complete genome.
CP047216.1	SAMN13684357	Campylobacter coli strain SH89 chromosome, complete genome.	1697688	Campylobacter coli strain SH89 chromosome, complete genome.
CP058340.1	SAMN15379446	Campylobacter coli strain 20A420 chromosome, complete genome.	1654173	Campylobacter coli strain 20A420 chromosome, complete genome.
CP068581.1	SAMN17379417	Campylobacter coli strain CC19CH075 chromosome, complete genome.	1781472	Campylobacter coli strain CC19CH075 chromosome, complete genome.
CP068586.1	SAMN17379418	Campylobacter coli strain CC19CH076 chromosome, complete genome.	1781471	Campylobacter coli strain CC19CH076 chromosome, complete genome.
CP076503.1	SAMN15156968	Campylobacter coli strain R19.0895 chromosome, complete genome.	1715528	Campylobacter coli strain R19.0895 chromosome, complete genome.
CP076509.1	SAMN15156909	Campylobacter coli strain R18.1828 chromosome, complete genome.	1726629	Campylobacter coli strain R18.1828 chromosome, complete genome.
CP076510.1	SAMN15156961	Campylobacter coli strain R19.0802 chromosome, complete genome.	1754529	Campylobacter coli strain R19.0802 chromosome, complete genome.
CP076513.1	SAMN15156991	Campylobacter coli strain R19.1157 chromosome, complete genome.	1811840	Campylobacter coli strain R19.1157 chromosome, complete genome.
CP082874.1	SAMN20888883	Campylobacter coli strain FDAARGOS_1466 chromosome, complete genome.	1742654	Campylobacter coli strain FDAARGOS_1466 chromosome, complete genome.
CP082881.1	SAMN20888882	Campylobacter coli strain FDAARGOS_1465 chromosome, complete genome.	1684072	Campylobacter coli strain FDAARGOS_1465 chromosome, complete genome.
CP082947.1	SAMN21240411	Campylobacter coli strain C203016 chromosome, complete genome.	1702386	Campylobacter coli strain C203016 chromosome, complete genome.
CP083377.1	SAMN21378336	Campylobacter coli strain C203110 chromosome, complete genome.	1708852	Campylobacter coli strain C203110 chromosome, complete genome.
CP083379.1	SAMN21378338	Campylobacter coli strain C203115 chromosome, complete genome.	1708465	Campylobacter coli strain C203115 chromosome, complete genome.
CP083395.1	SAMN21378319	Campylobacter coli strain C203018 chromosome, complete genome.	1709062	Campylobacter coli strain C203018 chromosome, complete genome.
CP092025.1	SAMN25686031	Campylobacter coli strain 14158-6 chromosome, complete genome.	1796970	Campylobacter coli strain 14158-6 chromosome, complete genome.
OX442413.1	SAMEA112702328	Campylobacter coli isolate pure strain genome assembly, chromosome: 1.	1766438	Campylobacter coli isolate pure strain genome assembly, chromosome: 1.
x	NA	NA	NA	NA
AL009126.3	SAMEA3138188	Bacillus subtilis subsp. subtilis str. 168 genome assembly, chromosome: 1.	4215606	Bacillus subtilis subsp. subtilis str. 168 genome assembly, chromosome: 1.
AP011541.2	SAMD00016353	Bacillus subtilis subsp. natto BEST195 DNA, complete genome.	4105380	Bacillus subtilis subsp. natto BEST195 DNA, complete genome.
AP011542.1	SAMD00016353	Bacillus subtilis subsp. natto BEST195 plasmid pBEST195S DNA, complete genome.	5838	Bacillus subtilis subsp. natto BEST195 plasmid pBEST195S DNA, complete genome.
AP012496.1	SAMD00061007	Bacillus subtilis BEST7003 DNA, complete genome.	4043042	Bacillus subtilis BEST7003 DNA, complete genome.
AP019714.1	SAMD00169822	Bacillus subtilis subsp. subtilis NBRC 13719 DNA, complete genome.	4211090	Bacillus subtilis subsp. subtilis NBRC 13719 DNA, complete genome.
AP019715.1	SAMD00169822	Bacillus subtilis subsp. subtilis NBRC 13719 plasmid pBSU1 DNA, complete genome.	84215	Bacillus subtilis subsp. subtilis NBRC 13719 plasmid pBSU1 DNA, complete genome.
AP024621.1	SAMD00163109	Bacillus subtilis BEST3095 DNA, complete genome.	4194929	Bacillus subtilis BEST3095 DNA, complete genome.
AP024622.1	SAMD00163110	Bacillus subtilis BEST3096 DNA, complete genome.	4207047	Bacillus subtilis BEST3096 DNA, complete genome.
AP024623.1	SAMD00163111	Bacillus subtilis BEST3102 DNA, complete genome.	4195012	Bacillus subtilis BEST3102 DNA, complete genome.
AP024624.1	SAMD00163112	Bacillus subtilis BEST3106 DNA, complete genome.	4192623	Bacillus subtilis BEST3106 DNA, complete genome.
AP024625.1	SAMD00163113	Bacillus subtilis BEST3109 DNA, complete genome.	4192790	Bacillus subtilis BEST3109 DNA, complete genome.
AP024626.1	SAMD00163114	Bacillus subtilis BEST3125 DNA, complete genome.	4190030	Bacillus subtilis BEST3125 DNA, complete genome.
AP024627.1	SAMD00163115	Bacillus subtilis BEST3136 DNA, complete genome.	4194343	Bacillus subtilis BEST3136 DNA, complete genome.
AP024628.1	SAMD00163116	Bacillus subtilis BEST3145 DNA, complete genome.	4217110	Bacillus subtilis BEST3145 DNA, complete genome.
AP025224.1	SAMD00393828	Bacillus subtilis subsp. natto G8 DNA, complete genome.	4017503	Bacillus subtilis subsp. natto G8 DNA, complete genome.
AP028059.1	SAMD00599739	Bacillus subtilis subsp. natto NARUSE DNA, complete genome.	4148793	Bacillus subtilis subsp. natto NARUSE DNA, complete genome.
AP028964.1	SAMD00650365	Bacillus subtilis NA05 DNA, complete genome.	3886763	Bacillus subtilis NA05 DNA, complete genome.
CP002468.1	SAMN02603875	Bacillus subtilis BSn5, complete genome.	4093599	Bacillus subtilis BSn5, complete genome.
CP002906.1	SAMN02603351	Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	4011949	Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.
CP003329.1	SAMN02603273	Bacillus subtilis subsp. subtilis 6051-HGW, complete genome.	4215610	Bacillus subtilis subsp. subtilis 6051-HGW, complete genome.
CP004019.1	SAMN02602961	Bacillus subtilis XF-1, complete genome.	4061186	Bacillus subtilis XF-1, complete genome.
CP004405.1	SAMN02603719	Bacillus subtilis subsp. subtilis str. BAB-1, complete genome.	4021944	Bacillus subtilis subsp. subtilis str. BAB-1, complete genome.
CP005997.1	SAMN02183432	Bacillus subtilis TOA, complete genome.	4057487	Bacillus subtilis TOA, complete genome.
CP007173.1	SAMN03492038	Bacillus subtilis HJ5, complete genome.	4012933	Bacillus subtilis HJ5, complete genome.
CP007409.1	SAMN02673193	Bacillus subtilis subsp. subtilis str. OH 131.1, complete genome.	4039155	Bacillus subtilis subsp. subtilis str. OH 131.1, complete genome.
CP007800.1	SAMN02800681	Bacillus subtilis subsp. subtilis str. JH642 substr. AG174, complete genome.	4188369	Bacillus subtilis subsp. subtilis str. JH642 substr. AG174, complete genome.
CP008698.1	SAMN02841094	Bacillus subtilis subsp. subtilis str. AG1839, complete genome.	4193640	Bacillus subtilis subsp. subtilis str. AG1839, complete genome.
CP009796.1	SAMN03145713	Bacillus subtilis strain SG6, complete genome.	4079669	Bacillus subtilis strain SG6, complete genome.
CP010052.1	SAMN03222589	Bacillus subtilis subsp. subtilis str. 168, complete genome.	4215619	Bacillus subtilis subsp. subtilis str. 168, complete genome.
CP010053.1	SAMN03222590	Bacillus subtilis strain PS832, complete genome.	4215367	Bacillus subtilis strain PS832, complete genome.
CP010314.1	SAMN03265456	Bacillus subtilis subsp. subtilis strain 3NA, complete genome.	4195102	Bacillus subtilis subsp. subtilis strain 3NA, complete genome.
CP011115.1	SAMN03394574	Bacillus subtilis KCTC 1028, complete genome.	4215633	Bacillus subtilis KCTC 1028, complete genome.
CP011534.1	SAMN03701301	Bacillus subtilis strain UD1022, complete genome.	4025326	Bacillus subtilis strain UD1022, complete genome.
CP011882.1	SAMN03744308	Bacillus subtilis strain TO-A JPC, complete genome.	4090708	Bacillus subtilis strain TO-A JPC, complete genome.
CP013654.1	SAMN04320556	Bacillus subtilis subsp. subtilis strain BSD-2, complete genome.	4030837	Bacillus subtilis subsp. subtilis strain BSD-2, complete genome.
CP014166.1	SAMN04420251	Bacillus subtilis subsp. subtilis strain CU1050, complete genome.	4056281	Bacillus subtilis subsp. subtilis strain CU1050, complete genome.
