accession	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
CP192835	ENA|CP192835|CP192835.1|provirus_827477_844140	16664	Provirus	827477-844140	26	11	0.9655	NA	1	26.3882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193906	ENA|CP193906|CP193906.1|provirus_5354992_5390814	35823	Provirus	5354992-5390814	52	11	0.9791	NA	12	69.9807	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193906	ENA|CP193906|CP193906.1|provirus_1372900_1412180	39281	Provirus	1372900-1412180	51	11	0.9749	NA	14	61.4050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193906	ENA|CP193906|CP193906.1|provirus_2145478_2203520	58043	Provirus	2145478-2203520	72	11	0.9695	NA	7	61.5455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193906	ENA|CP193906|CP193906.1|provirus_6278796_6316716	37921	Provirus	6278796-6316716	50	11	0.9680	NA	21	52.4760	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193906	ENA|CP193906|CP193906.1|provirus_3193665_3214565	20901	Provirus	3193665-3214565	25	11	0.9634	NA	6	15.8190	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP193906	ENA|CP193906|CP193906.1|provirus_667436_685910	18475	Provirus	667436-685910	26	11	0.8837	NA	14	32.7556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_3039666_3086909	47244	Provirus	3039666-3086909	68	11	0.9777	NA	11	82.8998	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_4473046_4505473	32428	Provirus	4473046-4505473	43	11	0.9763	NA	19	50.6609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_1449242_1501308	52067	Provirus	1449242-1501308	77	11	0.9720	NA	17	89.6774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_4313801_4334241	20441	Provirus	4313801-4334241	23	11	0.9628	NA	11	28.2780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_1146708_1158659	11952	Provirus	1146708-1158659	12	11	0.9202	NA	1	7.3113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193956	ENA|CP193956|CP193956.1|provirus_2014220_2020359	6140	Provirus	2014220-2020359	10	11	0.9130	NA	2	8.6573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193986	ENA|CP193986|CP193986.1|provirus_1867153_1903139	35987	Provirus	1867153-1903139	50	11	0.9814	NA	11	65.5843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193986	ENA|CP193986|CP193986.1|provirus_800549_850292	49744	Provirus	800549-850292	74	11	0.9790	NA	15	78.8003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193986	ENA|CP193986|CP193986.1|provirus_751733_782896	31164	Provirus	751733-782896	40	11	0.9764	NA	14	55.3606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193986	ENA|CP193986|CP193986.1|provirus_3020101_3057158	37058	Provirus	3020101-3057158	45	11	0.9646	NA	20	43.7451	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193986	ENA|CP193986|CP193986.1|provirus_1282642_1299960	17319	Provirus	1282642-1299960	19	11	0.9412	NA	10	24.4860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193987	ENA|CP193987|CP193987.1|provirus_2884894_2920880	35987	Provirus	2884894-2920880	50	11	0.9807	NA	11	65.5843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193987	ENA|CP193987|CP193987.1|provirus_3937741_3987484	49744	Provirus	3937741-3987484	74	11	0.9797	NA	15	78.8003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193987	ENA|CP193987|CP193987.1|provirus_4005137_4036300	31164	Provirus	4005137-4036300	40	11	0.9733	NA	14	55.3606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193987	ENA|CP193987|CP193987.1|provirus_1730875_1767932	37058	Provirus	1730875-1767932	45	11	0.9649	NA	20	43.7451	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193987	ENA|CP193987|CP193987.1|provirus_3488073_3505391	17319	Provirus	3488073-3505391	19	11	0.9518	NA	10	24.4860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193988	ENA|CP193988|CP193988.1|provirus_3226776_3262762	35987	Provirus	3226776-3262762	50	11	0.9807	NA	11	65.5843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193988	ENA|CP193988|CP193988.1|provirus_4279584_4329327	49744	Provirus	4279584-4329327	74	11	0.9797	NA	15	78.8003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193988	ENA|CP193988|CP193988.1|provirus_4349773_4378625	28853	Provirus	4349773-4378625	35	11	0.9742	NA	14	52.8957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193988	ENA|CP193988|CP193988.1|provirus_2072757_2109814	37058	Provirus	2072757-2109814	45	11	0.9649	NA	20	43.7451	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193988	ENA|CP193988|CP193988.1|provirus_3829916_3847234	17319	Provirus	3829916-3847234	19	11	0.9518	NA	10	24.4860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193989	ENA|CP193989|CP193989.1|provirus_3102619_3156951	54333	Provirus	3102619-3156951	73	11	0.9761	NA	12	76.2266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193989	ENA|CP193989|CP193989.1|provirus_3211910_3256525	44616	Provirus	3211910-3256525	47	11	0.9728	NA	18	55.3134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193991	ENA|CP193991|CP193991.1|provirus_3054530_3095373	40844	Provirus	3054530-3095373	60	11	0.9800	NA	14	80.4250	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_1375695_1425531	49837	Provirus	1375695-1425531	62	11	0.9765	NA	11	71.6358	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_1215191_1256099	40909	Provirus	1215191-1256099	50	11	0.9697	NA	21	54.1901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_3320426_3376822	56397	Provirus	3320426-3376822	56	11	0.9690	NA	16	56.7995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_3650061_3683950	33890	Provirus	3650061-3683950	38	11	0.9672	NA	20	39.4609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_3139332_3159847	20516	Provirus	3139332-3159847	34	11	0.9583	NA	6	32.0186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193991	ENA|CP193991|CP193991.1|provirus_466933_482973	16041	Provirus	466933-482973	25	11	0.9566	NA	7	21.6159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193994	ENA|CP193994|CP193994.1|provirus_3050936_3091069	40134	Provirus	3050936-3091069	61	11	0.9794	NA	14	82.1433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_1377219_1424358	47140	Provirus	1377219-1424358	60	11	0.9783	NA	11	67.0689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_1219199_1257464	38266	Provirus	1219199-1257464	49	11	0.9731	NA	21	54.1901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_3318494_3373533	55040	Provirus	3318494-3373533	56	11	0.9718	NA	17	61.5807	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_3648148_3689238	41091	Provirus	3648148-3689238	50	11	0.9671	NA	22	52.4361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_470205_487508	17304	Provirus	470205-487508	26	11	0.9600	NA	7	22.6027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193994	ENA|CP193994|CP193994.1|provirus_3135028_3157913	22886	Provirus	3135028-3157913	37	11	0.9539	NA	6	33.7369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP193995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP193997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194217	ENA|CP194217|CP194217.1|provirus_3813845_3880943	67099	Provirus	3813845-3880943	98	11	0.9793	NA	14	79.5141	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194217	ENA|CP194217|CP194217.1|provirus_2907732_2944858	37127	Provirus	2907732-2944858	50	11	0.9392	NA	8	37.7765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194217	ENA|CP194217|CP194217.1|provirus_2343548_2372869	29322	Provirus	2343548-2372869	37	11	0.9380	NA	16	43.8833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194217	ENA|CP194217|CP194217.1|provirus_2800351_2807411	7061	Provirus	2800351-2807411	14	11	0.8629	NA	1	7.3559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194218	ENA|CP194218|CP194218.1|provirus_1844400_1911498	67099	Provirus	1844400-1911498	98	11	0.9793	NA	14	79.5141	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194218	ENA|CP194218|CP194218.1|provirus_938287_975412	37126	Provirus	938287-975412	50	11	0.9390	NA	8	37.7765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194218	ENA|CP194218|CP194218.1|provirus_374101_403422	29322	Provirus	374101-403422	37	11	0.9380	NA	16	43.8833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194218	ENA|CP194218|CP194218.1|provirus_830906_837966	7061	Provirus	830906-837966	14	11	0.8629	NA	1	7.3559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194220	ENA|CP194220|CP194220.1|provirus_1791341_1831762	40422	Provirus	1791341-1831762	58	11	0.9759	NA	10	79.9092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194220	ENA|CP194220|CP194220.1|provirus_1941020_1981883	40864	Provirus	1941020-1981883	64	11	0.9759	NA	15	73.1328	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194220	ENA|CP194220|CP194220.1|provirus_1223072_1236455	13384	Provirus	1223072-1236455	17	11	0.9166	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194226	ENA|CP194226|CP194226.1|provirus_3027127_3069814	42688	Provirus	3027127-3069814	54	11	0.9801	NA	15	69.7324	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194226	ENA|CP194226|CP194226.1|provirus_2779848_2822619	42772	Provirus	2779848-2822619	64	11	0.9723	NA	17	63.5348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194226	ENA|CP194226|CP194226.1|provirus_3377062_3415420	38359	Provirus	3377062-3415420	49	11	0.9686	NA	22	49.4425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194226	ENA|CP194226|CP194226.1|provirus_1958612_1966481	7870	Provirus	1958612-1966481	12	11	0.9449	NA	4	9.9989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194226	ENA|CP194226|CP194226.1|provirus_1471181_1491254	20074	Provirus	1471181-1491254	23	11	0.9347	NA	10	28.0430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194263	ENA|CP194263|CP194263.1|provirus_4219386_4248554	29169	Provirus	4219386-4248554	37	11	0.9775	NA	16	53.9639	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194263	ENA|CP194263|CP194263.1|provirus_3404477_3450613	46137	Provirus	3404477-3450613	69	11	0.9725	NA	12	80.9954	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194263	ENA|CP194263|CP194263.1|provirus_475811_496264	20454	Provirus	475811-496264	24	11	0.9714	NA	11	28.2780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194263	ENA|CP194263|CP194263.1|provirus_4419749_4437307	17559	Provirus	4419749-4437307	27	11	0.9656	NA	7	22.0709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194345	ENA|CP194345|CP194345.1|provirus_2889973_2931858	41886	Provirus	2889973-2931858	50	11	0.9771	NA	17	63.7270	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_2302953_2352279	49327	Provirus	2302953-2352279	66	11	0.9755	NA	17	71.5827	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_1128383_1161660	33278	Provirus	1128383-1161660	43	11	0.9737	NA	19	47.9274	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_2041605_2050940	9336	Provirus	2041605-2050940	12	11	0.9707	NA	2	15.5318	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_1732512_1770705	38194	Provirus	1732512-1770705	43	11	0.9681	NA	20	49.5995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_1902802_1922024	19223	Provirus	1902802-1922024	23	11	0.9648	NA	8	25.5059	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194345	ENA|CP194345|CP194345.1|provirus_2055799_2074901	19103	Provirus	2055799-2074901	30	11	0.9278	NA	3	16.8452	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194356	ENA|CP194356|CP194356.1|provirus_768192_806473	38282	Provirus	768192-806473	61	11	0.9728	NA	13	59.6171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194356	ENA|CP194356|CP194356.1|provirus_203750_247359	43610	Provirus	203750-247359	69	11	0.9693	NA	22	65.3795	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194356	ENA|CP194356|CP194356.1|provirus_648615_730589	81975	Provirus	648615-730589	99	11	0.9511	NA	20	85.4037	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194356	ENA|CP194356|CP194356.1|provirus_3975460_3991944	16485	Provirus	3975460-3991944	21	11	0.9493	NA	3	20.0312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_2711559_2749368	37810	Provirus	2711559-2749368	54	11	0.9686	NA	16	58.3541	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_1271852_1315097	43246	Provirus	1271852-1315097	64	11	0.9652	NA	14	75.2765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_2579475_2625530	46056	Provirus	2579475-2625530	68	11	0.9644	NA	11	63.3821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_2927670_2973908	46239	Provirus	2927670-2973908	43	11	0.9431	NA	5	34.3464	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_1402483_1467868	65386	Provirus	1402483-1467868	81	11	0.9370	NA	11	67.3789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194385	ENA|CP194385|CP194385.1|provirus_2982372_3013837	31466	Provirus	2982372-3013837	47	11	0.9162	NA	1	33.6149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194674	ENA|CP194674|CP194674.1|provirus_1495761_1515032	19272	Provirus	1495761-1515032	27	11	0.9365	NA	8	16.0427	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP194674	ENA|CP194674|CP194674.1|provirus_1129934_1142155	12222	Provirus	1129934-1142155	20	11	0.9017	NA	2	11.6137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194919	ENA|CP194919|CP194919.1|provirus_1430133_1470325	40193	Provirus	1430133-1470325	51	11	0.9800	NA	10	67.6260	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194919	ENA|CP194919|CP194919.1|provirus_1268254_1298589	30336	Provirus	1268254-1298589	44	11	0.9785	NA	23	55.3087	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194919	ENA|CP194919|CP194919.1|provirus_1596437_1635497	39061	Provirus	1596437-1635497	58	11	0.9736	NA	20	71.0132	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194919	ENA|CP194919|CP194919.1|provirus_4396161_4431975	35815	Provirus	4396161-4431975	47	11	0.9719	NA	14	54.6953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194919	ENA|CP194919|CP194919.1|provirus_4803900_4837176	33277	Provirus	4803900-4837176	43	11	0.9680	NA	17	46.2913	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194924	ENA|CP194924|CP194924.1	86930	No terminal repeats	NA	106	11	0.9647	NA	15	63.8351	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP194925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP194926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195229	ENA|CP195229|CP195229.1|provirus_2824900_2833394	8495	Provirus	2824900-2833394	13	11	0.9726	NA	3	10.9416	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195229	ENA|CP195229|CP195229.1|provirus_1409306_1426627	17322	Provirus	1409306-1426627	17	11	0.9559	NA	10	22.8881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195298	ENA|CP195298|CP195298.1|provirus_789050_831094	42045	Provirus	789050-831094	64	11	0.9698	NA	9	76.9191	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195298	ENA|CP195298|CP195298.1|provirus_2037887_2052441	14555	Provirus	2037887-2052441	22	11	0.9502	NA	6	15.6979	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195313	ENA|CP195313|CP195313.1|provirus_1188371_1201755	13385	Provirus	1188371-1201755	17	11	0.9331	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_2381424_2435126	53703	Provirus	2381424-2435126	83	11	0.9806	NA	15	97.0560	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_4129629_4169619	39991	Provirus	4129629-4169619	55	11	0.9789	NA	14	68.7860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_4685781_4730532	44752	Provirus	4685781-4730532	59	11	0.9749	NA	9	68.6852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_4350462_4391665	41204	Provirus	4350462-4391665	59	11	0.9738	NA	14	75.4219	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_661520_692010	30491	Provirus	661520-692010	42	11	0.9673	NA	12	43.3635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_6694680_6733208	38529	Provirus	6694680-6733208	51	11	0.9650	NA	22	54.5547	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_5100770_5145586	44817	Provirus	5100770-5145586	67	11	0.9636	NA	9	86.7186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195320	ENA|CP195320|CP195320.1|provirus_3358980_3401787	42808	Provirus	3358980-3401787	57	11	0.9563	NA	10	31.1378	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP195320	ENA|CP195320|CP195320.1|provirus_5333184_5363791	30608	Provirus	5333184-5363791	38	11	0.9172	NA	21	48.3671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_2074165_2110714	36550	Provirus	2074165-2110714	50	11	0.9741	NA	19	60.8858	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_3819058_3879786	60729	Provirus	3819058-3879786	93	11	0.9735	NA	15	98.2187	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_1083189_1128005	44817	Provirus	1083189-1128005	67	11	0.9719	NA	9	86.7186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_1837111_1878314	41204	Provirus	1837111-1878314	59	11	0.9714	NA	14	75.4219	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_6647089_6684437	37349	Provirus	6647089-6684437	48	11	0.9698	NA	22	51.1326	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_5387487_5425069	37583	Provirus	5387487-5425069	48	11	0.9688	NA	21	48.5250	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_1498244_1542995	44752	Provirus	1498244-1542995	59	11	0.9682	NA	9	68.6852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_802797_872950	70154	Provirus	802797-872950	93	11	0.9637	NA	35	118.1369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195324	ENA|CP195324|CP195324.1|provirus_3474602_3503198	28597	Provirus	3474602-3503198	39	11	0.9628	NA	10	33.8132	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP195325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP195633	ENA|CP195633|CP195633.1|provirus_988187_1027318	39132	Provirus	988187-1027318	54	11	0.9787	NA	13	70.0959	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195633	ENA|CP195633|CP195633.1|provirus_6587425_6637408	49984	Provirus	6587425-6637408	64	11	0.9700	NA	14	71.8443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195633	ENA|CP195633|CP195633.1|provirus_5961625_6010952	49328	Provirus	5961625-6010952	63	11	0.9601	NA	17	50.3495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195633	ENA|CP195633|CP195633.1|provirus_1840259_1850726	10468	Provirus	1840259-1850726	15	11	0.9562	NA	1	11.5159	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP195633	ENA|CP195633|CP195633.1|provirus_6886143_6905056	18914	Provirus	6886143-6905056	25	11	0.9192	NA	3	12.5879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195633	ENA|CP195633|CP195633.1|provirus_4174497_4192972	18476	Provirus	4174497-4192972	26	11	0.8905	NA	14	32.7556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP195634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
