accession	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
CP175641.1	ENA|CP175641|CP175641.1	55839	No terminal repeats	70	11	0.9943	NA	9	46.8609	T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB1	NF012147
CP175654.1	ENA|CP175654|CP175654.1	70401	No terminal repeats	99	11	0.9886	NA	16	35.5018	t4cp2;F_traE;F_traL;F_traE;F_traK;F_traB;F_traV;F_traW;F_traU;F_trbC;F_trbC;F_traF;F_traH;F_traG	NA
CP175655.1	ENA|CP175655|CP175655.1	10967	No terminal repeats	13	11	0.9936	NA	1	5.2214	NA	NA
CP175656.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175726.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175727.1	ENA|CP175727|CP175727.1	71566	No terminal repeats	76	11	0.9931	NA	7	29.0823	MOBC;T_virB9;T_virB8;T_virB6;virb4	NA
CP175728.1	ENA|CP175728|CP175728.1	46160	No terminal repeats	58	11	0.9931	NA	9	25.1041	virb4;T_virB6;T_virB8;T_virB9;T_virB1;T_virB2	NF012147
CP175755.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175756.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175757.1	ENA|CP175757|CP175757.1	4570	No terminal repeats	7	11	0.9927	NA	1	2.2083	NA	NA
CP175758.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175759.1	ENA|CP175759|CP175759.1	2495	No terminal repeats	3	11	0.9952	NA	1	3.1262	NA	NA
CP175760.1	ENA|CP175760|CP175760.1	49893	No terminal repeats	62	11	0.9948	NA	9	44.5440	virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB1;T_virB3	NF012147
CP175806.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175807.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175808.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175825.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175826.1	ENA|CP175826|CP175826.1	11194	No terminal repeats	15	11	0.9940	NA	1	7.0816	MOBQ	NA
CP175832.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175833.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175834.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175853.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175854.1	ENA|CP175854|CP175854.1	19048	No terminal repeats	25	11	0.9948	NA	1	16.5868	MOBQ	NA
CP175855.1	ENA|CP175855|CP175855.1	5679	No terminal repeats	9	11	0.9955	NA	3	10.0808	MOBQ	NA
CP175863.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175864.1	ENA|CP175864|CP175864.1	228269	No terminal repeats	231	11	0.9894	NA	7	56.5578	traU;I_traN;I_traM;I_traI;I_traY;I_traW	NF000466;NF012174;NF033144;NF012171;NF040806
CP175865.1	ENA|CP175865|CP175865.1	91203	No terminal repeats	118	11	0.9880	NA	15	30.6491	F_traG;F_traH;F_traF;F_trbC;F_trbC;F_traU;F_traW;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp2	NA
CP175866.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175867.1	ENA|CP175867|CP175867.1	5679	No terminal repeats	9	11	0.9956	NA	3	10.0808	MOBQ	NA
CP175868.1	ENA|CP175868|CP175868.1	2763	No terminal repeats	6	11	0.9809	NA	1	1.9759	NA	NA
CP175876.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175877.1	ENA|CP175877|CP175877.1	89495	No terminal repeats	116	11	0.9887	NA	16	41.2542	F_traE;t4cp2;F_traL;F_traE;F_traK;F_traB;F_traV;F_traW;F_traU;F_trbC;F_trbC;F_traF;F_traH;F_traG	NF040806
CP175929.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175930.1	ENA|CP175930|CP175930.1	93203	No terminal repeats	111	11	0.9898	NA	4	25.1974	FA_orf13	NA
CP175931.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175998.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP175999.1	ENA|CP175999|CP175999.1	285735	No terminal repeats	307	11	0.9940	NA	18	208.3994	F_traG;F_traH;F_traF;MOBH;t4cp1;F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC	NF012147;NF012178;NF000496
CP176000.1	ENA|CP176000|CP176000.1	122053	No terminal repeats	141	11	0.9946	NA	23	109.4578	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NF012178
CP176085.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176086.1	ENA|CP176086|CP176086.1	154724	No terminal repeats	191	11	0.9953	NA	39	148.6271	F_traL;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000466
CP176087.1	ENA|CP176087|CP176087.1	10060	No terminal repeats	14	11	0.9935	NA	4	7.8883	MOBC	NA
CP176088.1	ENA|CP176088|CP176088.1	5596	No terminal repeats	9	11	0.9935	NA	2	6.0536	MOBP1	NA
CP176385.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176386.1	ENA|CP176386|CP176386.1	170833	No terminal repeats	193	11	0.9939	NA	23	95.4962	F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF;F_traL;F_traE;F_traK;F_traB	NF033144;NF012171
CP176387.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176388.1	ENA|CP176388|CP176388.1	5898	No terminal repeats	7	11	0.9944	NA	2	4.8591	MOBP1	NA
CP176389.1	ENA|CP176389|CP176389.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP176390.1	ENA|CP176390|CP176390.1	54035	No terminal repeats	68	11	0.9928	NA	9	22.9003	T_virB1;T_virB2;virb4;T_virB6;T_virB8;T_virB9	NF012147;NF000005
CP176568.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176569.1	ENA|CP176569|CP176569.1	35372	No terminal repeats	38	11	0.9945	NA	5	24.0780	MOBV;MOBP1	NF033693;NF012176;NF040806;NF012167;NF000025
CP176623.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176676.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176677.1	ENA|CP176677|CP176677.1	55123	No terminal repeats	66	11	0.9906	NA	10	28.6719	MOBP1;T_virB2;virb4;T_virB6;T_virB8;T_virB9	NF000107;NF033068
CP176704.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176894.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176895.1	ENA|CP176895|CP176895.1	223818	No terminal repeats	246	11	0.9937	NA	4	74.3363	F_traE	NF000402;NF033134
CP176902.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176903.1	ENA|CP176903|CP176903.1	228140	No terminal repeats	245	11	0.9933	NA	4	77.6291	F_traE	NF033134;NF000402
CP176910.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176911.1	ENA|CP176911|CP176911.1	209523	No terminal repeats	232	11	0.9935	NA	4	75.2413	F_traE	NF033134;NF000402
CP176912.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176913.1	ENA|CP176913|CP176913.1	223851	No terminal repeats	245	11	0.9938	NA	4	73.8009	F_traE	NF033134;NF000402
CP176930.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176931.1	ENA|CP176931|CP176931.1	223364	No terminal repeats	241	11	0.9936	NA	4	72.6881	F_traE	NF033134;NF000402
CP176946.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176947.1	ENA|CP176947|CP176947.1	211565	No terminal repeats	237	11	0.9934	NA	4	73.0204	F_traE	NF033134;NF000402
CP176972.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP176973.1	ENA|CP176973|CP176973.1	223853	No terminal repeats	242	11	0.9936	NA	4	72.5066	F_traE	NF033134;NF000402
CP177077.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177078.1	ENA|CP177078|CP177078.1	40917	No terminal repeats	54	11	0.9934	NA	10	33.7495	MOBP1;T_virB1;T_virB2;virb4;T_virB6;T_virB8;T_virB9;T_virB11	NA
CP177079.1	ENA|CP177079|CP177079.1	101867	No terminal repeats	116	11	0.9901	NA	21	34.7119	T_virB1;F_trbC;F_traG;F_traH;F_traF;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH	NF000119
CP177210.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177242.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177279.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177280.1	ENA|CP177280|CP177280.1	6151	No terminal repeats	7	11	0.9943	NA	2	4.1506	NA	NA
CP177281.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177282.1	ENA|CP177282|CP177282.1	4088	No terminal repeats	5	11	0.9958	NA	2	5.6725	MOBV	NA
CP177283.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177284.1	ENA|CP177284|CP177284.1	66401	No terminal repeats	86	11	0.9882	NA	2	28.8022	T_virB11;MOBP2	NF000145
CP177285.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP177358.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178213.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178339.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178387.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178388.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178418.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178419.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178420.1	ENA|CP178420|CP178420.1	4554	No terminal repeats	5	11	0.9820	NA	1	2.1404	NA	NA
CP178421.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178422.1	ENA|CP178422|CP178422.1	2742	No terminal repeats	5	11	0.9862	NA	1	1.9759	NA	NA
CP178423.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178868.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178869.1	ENA|CP178869|CP178869.1	4439	No terminal repeats	4	11	0.9943	NA	1	3.7538	NA	NF012176
CP178870.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178874.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178875.1	ENA|CP178875|CP178875.1	4439	No terminal repeats	4	11	0.9943	NA	1	3.7538	NA	NF012176
CP178876.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178877.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178878.1	ENA|CP178878|CP178878.1	4439	No terminal repeats	4	11	0.9943	NA	1	3.7538	NA	NF012176
CP178879.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178883.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP178884.1	ENA|CP178884|CP178884.1	4439	No terminal repeats	4	11	0.9943	NA	1	3.7538	NA	NF012176
CP178885.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP179883.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP179884.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP179885.1	ENA|CP179885|CP179885.1	10848	No terminal repeats	12	11	0.9936	NA	1	4.4876	NA	NA
CP179886.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180192.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180193.1	ENA|CP180193|CP180193.1	63391	No terminal repeats	84	11	0.9918	NA	15	38.1709	I_trbA;I_trbB;I_traY;I_traW;traU;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;MOBP1	NF040806
CP180266.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180267.1	ENA|CP180267|CP180267.1	328525	No terminal repeats	357	11	0.9936	NA	19	132.8920	t4cp1;MOBH;F_traF;F_traH;F_traG;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE	NF033134;NF012178;NF000466
CP180268.1	ENA|CP180268|CP180268.1	54037	No terminal repeats	65	11	0.9930	NA	3	24.6283	NA	NF000005;NF012147;NF033144;NF000270
CP180269.1	ENA|CP180269|CP180269.1	9324	No terminal repeats	12	11	0.9950	NA	3	9.1824	MOBC	NA
CP180270.1	ENA|CP180270|CP180270.1	3335	No terminal repeats	5	11	0.9962	NA	2	5.6014	NA	NA
CP180287.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180575.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180593.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180684.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180685.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180716.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP180717.1	ENA|CP180717|CP180717.1	6098	DTR	6	11	0.9956	NA	3	5.8134	MOBP1	NA
CP180718.1	ENA|CP180718|CP180718.1	162415	No terminal repeats	202	11	0.9924	NA	21	76.1541	MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1	NF012174;NF012171;NF040806;NF012174;NF033144
CP181076.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181077.1	ENA|CP181077|CP181077.1	309605	No terminal repeats	349	11	0.9939	NA	19	205.2193	F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traE;t4cp1;MOBH;F_traF;F_traH	NF000270;NF040806;NF012147;NF033144;NF012171
CP181078.1	ENA|CP181078|CP181078.1	59234	No terminal repeats	60	11	0.9927	NA	3	17.2872	F_traE	NA
CP181079.1	ENA|CP181079|CP181079.1	4961	No terminal repeats	6	11	0.9935	NA	2	3.1408	MOBP1	NA
CP181087.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181088.1	ENA|CP181088|CP181088.1	44609	No terminal repeats	65	11	0.9904	NA	8	15.2566	virb4;T_virB5;T_virB6;T_virB8;T_virB9;MOBP1	NA
CP181099.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181100.1	ENA|CP181100|CP181100.1	2473	No terminal repeats	3	11	0.9881	NA	1	1.7936	NA	NA
CP181101.1	ENA|CP181101|CP181101.1	27266	No terminal repeats	31	11	0.9943	NA	2	7.4246	NA	NF040806;NF012167
CP181102.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181103.1	ENA|CP181103|CP181103.1	27268	No terminal repeats	31	11	0.9937	NA	2	7.7985	NA	NF012167;NF040806
CP181113.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181114.1	ENA|CP181114|CP181114.1	27267	No terminal repeats	32	11	0.9942	NA	2	7.4246	NA	NF012167;NF040806
CP181128.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181129.1	ENA|CP181129|CP181129.1	27068	No terminal repeats	35	11	0.9907	NA	1	9.5644	NA	NF033068;NF040806;NF012167
CP181130.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181138.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181139.1	ENA|CP181139|CP181139.1	27268	No terminal repeats	31	11	0.9941	NA	2	7.7985	NA	NF012167;NF040806
CP181214.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181215.1	ENA|CP181215|CP181215.1	48643	No terminal repeats	52	11	0.9911	NA	3	11.2072	FATA_prgIc;FATA_prgL	NA
CP181216.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181217.1	ENA|CP181217|CP181217.1	119402	No terminal repeats	132	11	0.9921	NA	5	35.2664	MOBP2;FATA_prgIc;FATA_prgL	NA
CP181218.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181219.1	ENA|CP181219|CP181219.1	5121	No terminal repeats	5	11	0.9924	NA	1	3.1574	MOBV	NA
CP181220.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181221.1	ENA|CP181221|CP181221.1	43672	No terminal repeats	75	11	0.9923	NA	2	10.3804	FATA_prgIc;FATA_prgL	NA
CP181226.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181227.1	ENA|CP181227|CP181227.1	60215	No terminal repeats	74	11	0.9931	NA	3	20.5387	FA_orf13	NA
CP181228.1	ENA|CP181228|CP181228.1	101421	No terminal repeats	114	11	0.9930	NA	2	36.8371	NA	NA
CP181229.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181230.1	ENA|CP181230|CP181230.1	69895	No terminal repeats	79	11	0.9913	NA	2	22.1897	MOBP2	NA
CP181231.1	ENA|CP181231|CP181231.1	53785	No terminal repeats	56	11	0.9930	NA	1	17.8224	NA	NA
CP181232.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181233.1	ENA|CP181233|CP181233.1	5122	No terminal repeats	5	11	0.9922	NA	1	3.1574	MOBV	NA
CP181238.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181239.1	ENA|CP181239|CP181239.1	74657	No terminal repeats	82	11	0.9909	NA	2	20.9591	MOBP2	NA
CP181240.1	ENA|CP181240|CP181240.1	59098	No terminal repeats	65	11	0.9899	NA	2	10.7583	MOBP2	NA
CP181241.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181242.1	ENA|CP181242|CP181242.1	5143	No terminal repeats	6	11	0.9888	NA	1	3.1574	MOBV	NA
CP181245.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181371.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181372.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181373.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181374.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181479.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181480.1	ENA|CP181480|CP181480.1	315450	No terminal repeats	325	11	0.9938	NA	24	140.2971	MOBP1;MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NF012171;NF012174
CP181481.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181503.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181504.1	ENA|CP181504|CP181504.1	129407	No terminal repeats	145	11	0.9949	NA	24	102.1563	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
CP181505.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181506.1	ENA|CP181506|CP181506.1	76951	No terminal repeats	84	11	0.9936	NA	9	45.0227	MOBF	NA
CP181507.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181508.1	ENA|CP181508|CP181508.1	129407	No terminal repeats	146	11	0.9949	NA	24	102.1563	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
CP181509.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181510.1	ENA|CP181510|CP181510.1	101648	No terminal repeats	115	11	0.9935	NA	20	66.7463	I_traI;I_traK;I_traL;I_traM;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traW;I_traY;I_trbA;I_trbB;MOBP1	NA
CP181511.1	ENA|CP181511|CP181511.1	76978	No terminal repeats	84	11	0.9936	NA	9	45.0227	MOBF	NA
CP181512.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181513.1	ENA|CP181513|CP181513.1	129407	No terminal repeats	145	11	0.9949	NA	24	102.1563	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
CP181514.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181515.1	ENA|CP181515|CP181515.1	101652	No terminal repeats	114	11	0.9935	NA	19	65.0280	I_traI;I_traK;I_traL;I_traM;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY;I_trbA;I_trbB;MOBP1	NA
CP181516.1	ENA|CP181516|CP181516.1	76978	No terminal repeats	84	11	0.9936	NA	9	45.0227	MOBF	NA
CP181517.1	ENA|CP181517|CP181517.1	9923	No terminal repeats	10	11	0.9934	NA	3	7.4782	MOBP1	NF012171
CP181518.1	ENA|CP181518|CP181518.1	4249	No terminal repeats	5	11	0.9911	NA	1	1.7183	MOBP1	NA
CP181524.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181525.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181526.1	ENA|CP181526|CP181526.1	96057	No terminal repeats	106	11	0.9946	NA	28	71.1524	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NA
CP181527.1	ENA|CP181527|CP181527.1	129412	No terminal repeats	146	11	0.9949	NA	24	102.1563	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
CP181528.1	ENA|CP181528|CP181528.1	9923	No terminal repeats	11	11	0.9928	NA	3	7.4782	MOBP1	NF012171
CP181529.1	ENA|CP181529|CP181529.1	3223	No terminal repeats	5	11	0.9948	NA	2	4.5840	MOBP1	NA
CP181616.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181617.1	ENA|CP181617|CP181617.1	5284	No terminal repeats	7	11	0.9942	NA	3	5.7581	MOBP1;MOBP1	NA
CP181618.1	ENA|CP181618|CP181618.1	64004	No terminal repeats	77	11	0.9929	NA	2	23.8401	NA	NA
CP181657.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181658.1	ENA|CP181658|CP181658.1	155720	No terminal repeats	175	11	0.9949	NA	30	117.0016	F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000402;NF033144;NF012178
CP181659.1	ENA|CP181659|CP181659.1	41531	No terminal repeats	50	11	0.9937	NA	1	23.2006	NA	NA
CP181668.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181669.1	ENA|CP181669|CP181669.1	64301	No terminal repeats	65	11	0.9926	NA	1	14.8882	NA	NA
CP181672.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181673.1	ENA|CP181673|CP181673.1	221272	No terminal repeats	258	11	0.9911	NA	19	50.5315	T_virB1;F_traG;F_traH;F_traF;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;virb4	NF012178
CP181674.1	ENA|CP181674|CP181674.1	109407	No terminal repeats	129	11	0.9938	NA	10	62.6638	T_virB8;T_virB9;T_virB6;T_virB5;virb4;T_virB3	NF000402;NF012147
CP181752.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181753.1	ENA|CP181753|CP181753.1	11726	No terminal repeats	17	11	0.9952	NA	3	10.8627	T_virB5	NA
CP181754.1	ENA|CP181754|CP181754.1	4550	No terminal repeats	5	11	0.9939	NA	2	3.1408	MOBP1	NA
CP181755.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181762.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181763.1	ENA|CP181763|CP181763.1	3782	No terminal repeats	6	11	0.9925	NA	1	2.1566	MOBQ	NA
CP181764.1	ENA|CP181764|CP181764.1	4563	No terminal repeats	6	11	0.9934	NA	2	3.1408	MOBP1	NA
CP181839.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181840.1	ENA|CP181840|CP181840.1	2497	No terminal repeats	4	11	0.9955	NA	1	4.8445	NA	NA
CP181841.1	ENA|CP181841|CP181841.1	10470	DTR	13	11	0.9930	NA	4	3.5021	I_traQ;I_traQ	NA
CP181842.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181843.1	ENA|CP181843|CP181843.1	4667	No terminal repeats	5	11	0.9937	NA	2	3.1408	MOBP1	NA
CP181844.1	ENA|CP181844|CP181844.1	9943	No terminal repeats	11	11	0.9937	NA	3	7.4782	MOBP1	NF012171
CP181845.1	ENA|CP181845|CP181845.1	109963	No terminal repeats	117	11	0.9941	NA	7	55.1183	F_traL;F_traE	NF000402
CP181846.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181847.1	ENA|CP181847|CP181847.1	5627	No terminal repeats	6	11	0.9936	NA	2	4.0398	MOBP1	NA
CP181848.1	ENA|CP181848|CP181848.1	4656	No terminal repeats	6	11	0.9933	NA	1	2.2083	NA	NA
CP181849.1	ENA|CP181849|CP181849.1	4551	No terminal repeats	8	11	0.9925	NA	3	5.4722	MOBP1	NA
CP181850.1	ENA|CP181850|CP181850.1	2494	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP181851.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181852.1	ENA|CP181852|CP181852.1	6910	No terminal repeats	10	11	0.9939	NA	2	4.9260	MOBQ	NA
CP181853.1	ENA|CP181853|CP181853.1	36059	No terminal repeats	51	11	0.9934	NA	10	30.7692	MOBP1;T_virB11;T_virB9;T_virB8;T_virB6;virb4;T_virB2;T_virB1	NA
CP181857.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181858.1	ENA|CP181858|CP181858.1	178725	No terminal repeats	192	11	0.9910	NA	3	50.1338	I_traI;I_traW;I_traY	NF012171;NF033144;NF012174;NF000466
CP181859.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181860.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP181861.1	ENA|CP181861|CP181861.1	67908	No terminal repeats	73	11	0.9927	NA	2	20.5227	NA	NA
CP181862.1	ENA|CP181862|CP181862.1	5311	No terminal repeats	6	11	0.9926	NA	2	1.7511	I_traQ	NA
CP181863.1	ENA|CP181863|CP181863.1	2505	No terminal repeats	4	11	0.9947	NA	1	3.1262	NA	NA
CP181864.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
